Case_ID,Load_Position_X_m,Applied_Node_ID,Load_Magnitude_N,Max_Deformation_m
163,0.17,417,2300.0,0.0
164,0.17,417,3400.0,0.0
165,0.17,417,4500.0,0.0
166,0.17,417,5600.0,0.0
167,0.17,417,6700.0,0.0
168,0.17,417,7800.0,0.0
169,0.17,417,8900.0,0.0
170,0.17,417,10000.0,0.0
171,0.18,417,100.0,0.0
172,0.18,417,1200.0,0.0
173,0.18,417,2300.0,0.0
174,0.18,417,3400.0,0.0
175,0.18,417,4500.0,0.0
176,0.18,417,5600.0,0.0
177,0.18,417,6700.0,0.0
178,0.18,417,7800.0,0.0
179,0.18,417,8900.0,0.0
180,0.18,417,10000.0,0.0
181,0.19,417,100.0,0.0
182,0.19,417,1200.0,0.0
183,0.19,417,2300.0,0.0
184,0.19,417,3400.0,0.0
185,0.19,417,4500.0,0.0
186,0.19,417,5600.0,0.0
187,0.19,417,6700.0,0.0
188,0.19,417,7800.0,0.0
189,0.19,417,8900.0,0.0
190,0.19,417,10000.0,0.0
191,0.2,417,100.0,0.0
192,0.2,417,1200.0,0.0
193,0.2,417,2300.0,0.0
194,0.2,417,3400.0,0.0
195,0.2,417,4500.0,0.0
196,0.2,417,5600.0,0.0
197,0.2,417,6700.0,0.0
198,0.2,417,7800.0,0.0
199,0.2,417,8900.0,0.0
200,0.2,417,10000.0,0.0
201,0.21,417,100.0,0.0
202,0.21,417,1200.0,0.0
203,0.21,417,2300.0,0.0
204,0.21,417,3400.0,0.0
205,0.21,417,4500.0,0.0
206,0.21,417,5600.0,0.0
207,0.21,417,6700.0,0.0
208,0.21,417,7800.0,0.0
209,0.21,417,8900.0,0.0
210,0.21,417,10000.0,0.0
211,0.22,417,100.0,0.0
212,0.22,417,1200.0,0.0
213,0.22,417,2300.0,0.0
214,0.22,417,3400.0,0.0
215,0.22,417,4500.0,0.0
216,0.22,417,5600.0,0.0
217,0.22,417,6700.0,0.0
218,0.22,417,7800.0,0.0
219,0.22,417,8900.0,0.0
220,0.22,417,10000.0,0.0
221,0.23,417,100.0,0.0
222,0.23,417,1200.0,0.0
223,0.23,417,2300.0,0.0
224,0.23,417,3400.0,0.0
225,0.23,417,4500.0,0.0
